nb_win_team_home,nb_win_team_away,ranking_team_home,ranking_team_home,result
19,34,24.0,5.0,CLE
34,8,6.0,30.0,DET
23,23,21.0,22.0,HOU
33,29,8.0,13.0,IND
10,18,27.0,25.0,MEM
15,30,26.0,10.0,NOP
29,35,12.0,4.0,OKC
9,30,29.0,11.0,PHI
24,31,20.0,9.0,PHO
20,10,23.0,28.0,SAS
28,40,15.0,1.0,BOS
35,30,4.0,12.0,SAC
24,25,21.0,19.0,CHI
34,36,7.0,2.0,DEN
26,25,18.0,20.0,GSW
11,30,27.0,13.0,IND
35,36,5.0,3.0,MIN
18,31,25.0,9.0,NOP
23,33,22.0,8.0,NYK
35,31,4.0,10.0,PHI
19,10,24.0,28.0,SAS
30,9,12.0,29.0,WAS
21,41,23.0,1.0,BOS
28,8,16.0,30.0,DET
35,28,7.0,17.0,MIA
15,37,26.0,2.0,MIN
29,36,15.0,4.0,OKC
31,30,11.0,14.0,SAC
12,24,27.0,21.0,ATL
42,21,1.0,23.0,BRK
35,26,5.0,18.0,CHI
32,8,11.0,30.0,DET
18,24,25.0,22.0,HOU
19,30,24.0,13.0,IND
26,35,19.0,6.0,LAC
26,29,20.0,15.0,LAL
32,29,10.0,16.0,MIA
29,33,17.0,8.0,NYK
36,30,3.0,14.0,SAC
31,11,12.0,28.0,SAS
32,9,9.0,29.0,WAS
26,26,20.0,19.0,GSW
19,35,24.0,7.0,MIL
15,38,26.0,2.0,MIN
26,43,19.0,1.0,BOS
19,21,25.0,23.0,BRK
26,13,20.0,27.0,CHO
31,8,13.0,30.0,DET
33,24,8.0,22.0,HOU
37,36,3.0,6.0,LAC
27,30,18.0,15.0,LAL
32,33,12.0,9.0,NYK
36,30,4.0,16.0,ORL
32,33,11.0,10.0,PHO
31,11,14.0,28.0,SAS
36,9,5.0,29.0,WAS
28,14,18.0,27.0,CHO
32,36,12.0,5.0,CLE
15,37,26.0,4.0,DEN
20,36,24.0,6.0,LAC
34,30,8.0,16.0,MIA
39,35,2.0,7.0,MIL
24,33,22.0,10.0,PHO
30,11,15.0,28.0,SAS
24,20,21.0,25.0,TOR
38,9,3.0,29.0,WAS
34,44,9.0,1.0,BOS
39,21,2.0,23.0,BRK
8,31,30.0,14.0,ORL
34,26,8.0,19.0,CHI
15,14,26.0,27.0,CHO
9,36,29.0,6.0,CLE
32,33,13.0,10.0,DAL
29,38,18.0,4.0,DEN
33,31,12.0,16.0,LAL
33,36,11.0,7.0,MIL
25,39,21.0,3.0,OKC
24,32,22.0,14.0,ORL
37,32,5.0,15.0,SAC
26,11,20.0,28.0,SAS
20,21,25.0,23.0,BRK
34,8,9.0,30.0,DET
33,31,14.0,17.0,MIA
33,21,11.0,24.0,TOR
32,22,16.0,23.0,BRK
37,15,7.0,26.0,CHO
37,33,5.0,10.0,DAL
27,8,19.0,30.0,DET
9,29,29.0,18.0,GSW
40,25,3.0,22.0,HOU
15,32,27.0,15.0,MIA
35,34,8.0,9.0,NOP
45,33,1.0,12.0,PHI
