Away,Home,Result,Date
TOR,UTA,0,2024-01-12
CHI,SAS,1,2024-01-13
GSW,MIL,0,2024-01-13
HOU,BOS,0,2024-01-13
LAL,UTA,0,2024-01-13
NOP,DAL,1,2024-01-13
NYK,MEM,1,2024-01-13
ORL,OKC,0,2024-01-13
WAS,ATL,1,2024-01-13
CHO,MIA,0,2024-01-14
IND,DEN,0,2024-01-14
LAC,MIN,0,2024-01-14
PHO,POR,1,2024-01-14
SAC,MIL,0,2024-01-14
BOS,TOR,1,2024-01-15
CHI,CLE,0,2024-01-15
DET,WAS,1,2024-01-15
GSW,MEM,0,2024-01-15
HOU,PHI,0,2024-01-15
IND,UTA,0,2024-01-15
MIA,BRK,1,2024-01-15
NOP,DAL,0,2024-01-15
OKC,LAL,0,2024-01-15
ORL,NYK,1,2024-01-15
SAS,ATL,0,2024-01-15
DEN,PHI,0,2024-01-16
OKC,LAC,0,2024-01-16
SAC,PHO,0,2024-01-16
BRK,POR,0,2024-01-17
CHO,NOP,0,2024-01-17
DAL,LAL,0,2024-01-17
HOU,NYK,0,2024-01-17
MIA,TOR,0,2024-01-17
MIL,CLE,0,2024-01-17
MIN,DET,1,2024-01-17
ORL,ATL,0,2024-01-17
SAS,BOS,0,2024-01-17
CHI,TOR,1,2024-01-18
IND,SAC,1,2024-01-18
MEM,MIN,0,2024-01-18
OKC,UTA,1,2024-01-18
WAS,NYK,0,2024-01-18
ATL,MIA,1,2024-01-19
BRK,LAL,1,2024-01-19
DEN,BOS,1,2024-01-19
IND,POR,0,2024-01-19
PHI,ORL,1,2024-01-19
PHO,NOP,1,2024-01-19
SAS,CHO,0,2024-01-19
CLE,ATL,1,2024-01-20
MEM,CHI,0,2024-01-20
MIL,DET,1,2024-01-20
OKC,MIN,1,2024-01-20
PHI,CHO,1,2024-01-20
SAS,WAS,1,2024-01-20
TOR,NYK,0,2024-01-20
UTA,HOU,0,2024-01-20
BOS,HOU,1,2024-01-21
BRK,LAC,0,2024-01-21
DEN,WAS,1,2024-01-21
IND,PHO,0,2024-01-21
MIA,ORL,0,2024-01-21
POR,LAL,0,2024-01-21
ATL,SAC,0,2024-01-22
BOS,DAL,1,2024-01-22
CHI,PHO,0,2024-01-22
CHO,MIN,1,2024-01-22
CLE,ORL,1,2024-01-22
MEM,TOR,1,2024-01-22
MIL,DET,1,2024-01-22
SAS,PHI,0,2024-01-22
DEN,IND,1,2024-01-23
LAL,LAC,0,2024-01-23
NYK,BRK,1,2024-01-23
POR,OKC,0,2024-01-23
UTA,NOP,0,2024-01-23
ATL,GSW,0,2024-01-24
CHO,DET,0,2024-01-24
CLE,MIL,0,2024-01-24
MEM,MIA,1,2024-01-24
MIN,WAS,1,2024-01-24
OKC,SAS,1,2024-01-24
PHO,DAL,1,2024-01-24
POR,HOU,1,2024-01-24
BOS,MIA,1,2024-01-25
CHI,LAL,0,2024-01-25
DEN,NYK,0,2024-01-25
MIN,BRK,1,2024-01-25
PHI,IND,0,2024-01-25
SAC,GSW,1,2024-01-25
UTA,WAS,1,2024-01-25
CLE,MIL,1,2024-01-26
DAL,ATL,1,2024-01-26
HOU,CHO,1,2024-01-26
LAC,TOR,1,2024-01-26
OKC,NOP,1,2024-01-26
ORL,MEM,0,2024-01-26
PHO,IND,0,2024-01-26
POR,SAS,0,2024-01-26
HOU,BRK,0,2024-01-27
LAC,BOS,1,2024-01-27
LAL,GSW,1,2024-01-27
MIA,NYK,0,2024-01-27
MIN,SAS,0,2024-01-27
NOP,MIL,0,2024-01-27
PHI,DEN,0,2024-01-27
SAC,DAL,1,2024-01-27
UTA,CHO,1,2024-01-27
WAS,DET,1,2024-01-27
CHI,POR,1,2024-01-28
MEM,IND,0,2024-01-28
OKC,DET,0,2024-01-28
PHO,ORL,0,2024-01-28
TOR,ATL,0,2024-01-28
LAC,CLE,0,2024-01-29
LAL,HOU,0,2024-01-29
MIL,DEN,0,2024-01-29
MIN,OKC,1,2024-01-29
NOP,BOS,0,2024-01-29
NYK,CHO,1,2024-01-29
ORL,DAL,0,2024-01-29
PHI,POR,0,2024-01-29
PHO,MIA,1,2024-01-29
SAC,MEM,1,2024-01-29
UTA,BRK,0,2024-01-29
WAS,SAS,1,2024-01-29
IND,BOS,0,2024-01-30
LAL,ATL,0,2024-01-30
PHI,GSW,0,2024-01-30
TOR,CHI,1,2024-01-30
UTA,NYK,0,2024-01-30
CHI,CHO,1,2024-01-31
DAL,MIN,0,2024-01-31
DEN,OKC,0,2024-01-31
DET,CLE,0,2024-01-31
LAC,WAS,1,2024-01-31
MIL,POR,0,2024-01-31
NOP,HOU,1,2024-01-31
ORL,SAS,1,2024-01-31
PHO,BRK,1,2024-01-31
SAC,MIA,0,2024-01-31
CLE,MEM,1,2024-02-01
IND,NYK,0,2024-02-01
LAL,BOS,1,2024-02-01
PHI,UTA,1,2024-02-01
CHO,OKC,0,2024-02-02
GSW,MEM,1,2024-02-02
LAC,DET,1,2024-02-02
MIA,WAS,1,2024-02-02
NOP,SAS,1,2024-02-02
ORL,MIN,1,2024-02-02
PHO,ATL,0,2024-02-02
POR,DEN,0,2024-02-02
SAC,IND,1,2024-02-02
TOR,HOU,0,2024-02-02
BRK,PHI,1,2024-02-03
CLE,SAS,1,2024-02-03
GSW,ATL,0,2024-02-03
LAL,NYK,1,2024-02-03
MIL,DAL,1,2024-02-03
SAC,CHI,1,2024-02-03
HOU,MIN,0,2024-02-04
IND,CHO,1,2024-02-04
LAC,MIA,1,2024-02-04
MEM,BOS,0,2024-02-04
MIL,UTA,0,2024-02-04
ORL,DET,1,2024-02-04
PHO,WAS,1,2024-02-04
POR,DEN,0,2024-02-04
TOR,OKC,0,2024-02-04
DAL,PHI,1,2024-02-05
GSW,BRK,1,2024-02-05
LAC,ATL,1,2024-02-05
LAL,CHO,1,2024-02-05
SAC,CLE,0,2024-02-05
TOR,NOP,0,2024-02-05
DAL,BRK,1,2024-02-06
HOU,IND,0,2024-02-06
MEM,NYK,0,2024-02-06
MIL,PHO,0,2024-02-06
MIN,CHI,0,2024-02-06
OKC,UTA,0,2024-02-06
ORL,MIA,0,2024-02-06
ATL,BOS,0,2024-02-07
CLE,WAS,1,2024-02-07
DET,SAC,1,2024-02-07
GSW,PHI,1,2024-02-07
NOP,LAC,1,2024-02-07
SAS,MIA,0,2024-02-07
TOR,CHO,1,2024-02-07
CHI,MEM,1,2024-02-08
CLE,BRK,1,2024-02-08
DAL,NYK,1,2024-02-08
DEN,LAL,1,2024-02-08
DET,POR,1,2024-02-08
GSW,IND,1,2024-02-08
MIN,MIL,1,2024-02-08
SAS,ORL,0,2024-02-08
UTA,PHO,0,2024-02-08
ATL,PHI,1,2024-02-09
CHO,MIL,0,2024-02-09
DEN,SAC,0,2024-02-09
HOU,TOR,0,2024-02-09
NOP,LAL,0,2024-02-09
WAS,BOS,0,2024-02-09
CHI,ORL,0,2024-02-10
CLE,TOR,1,2024-02-10
DET,LAC,0,2024-02-10
HOU,ATL,0,2024-02-10
IND,NYK,1,2024-02-10
MEM,CHO,0,2024-02-10
NOP,POR,1,2024-02-10
OKC,DAL,0,2024-02-10
PHI,WAS,1,2024-02-10
PHO,GSW,0,2024-02-10
SAS,BRK,0,2024-02-10
BOS,MIA,1,2024-02-11
SAC,OKC,0,2024-02-11
